OBJECTID,PARK_NUMBER,PARK_NAME,SAP_ASSET_ID,HOUSE_NUMBER,STREET_ADDRESS,SUBURB,POST_CODE,LONG,LAT,SHAPE_Length,SHAPE_Area
12,D0159,GRINSTEAD PARK,B-RE-1739,130,SHAND STREET,ALDERLEY,4051,153.001357739629,-27.4174968403975,1380.3178783479,72050.2461818137
13,D0160,WALTON BRIDGE RESERVE,B-RE-1738,941,WATERWORKS ROAD,THE GAP,4061,152.95406773242,-27.446109260256,3873.14793803572,84179.4412166946
14,D0161,DORRINGTON PARK,B-RE-1862,5,MIRRABOOKA ROAD,ASHGROVE,4060,152.985781744316,-27.4401442859883,1483.38215936579,82475.6054817188
15,D0162,FRANK WATERS PARK,B-RE-1986,101,DORRINGTON DRIVE,ASHGROVE,4060,152.991762144985,-27.4372558711982,1020.69614104272,25560.0311534432
16,D0163,ST HELENS ROAD PARK (NO. 16-70),B-RE-1985,60,ST HELENS ROAD,MITCHELTON,4053,152.971963461859,-27.4020287818707,639.402228742505,15077.0586891916
17,D0164,MCCONAGHY STREET PARK (NO. 10-20),B-RE-1984,18,MCCONAGHY STREET,MITCHELTON,4053,152.975617943923,-27.4104307390167,261.626005041701,4252.964071528
18,D0165,DAWN STREET PARK,B-RE-1983,26,KAMBER STREET,BARDON,4065,152.980331873162,-27.4534816129069,992.942662408077,18719.4049941113
19,D0166,ASCOT PARK,B-RE-1982,93,KITCHENER ROAD,ASCOT,4007,153.063064436187,-27.4301742462332,744.104396686162,20418.9683217928
20,D0167,THEODORE STREET PARK,B-RE-1981,663,KINGSFORD SMITH DRIVE,EAGLE FARM,4009,153.080164773336,-27.4344012622903,196.215157974145,1875.85912309841
21,D0168,HAMILTON PARK,B-RE-1980,471,KINGSFORD SMITH DRIVE,HAMILTON,4007,153.065395705715,-27.439349529526,248.018378390299,3268.98723223774
22,D0169,CROSBY PARK,B-RE-1979,103,CROSBY ROAD,ALBION,4010,153.0468719953,-27.4343739679311,1553.25572564081,123622.738388745
23,D0170,YOWOGGERA  PARK,B-RE-1978,70,SANDGATE ROAD,ALBION,4010,153.042434303178,-27.4388114475137,1292.53834069023,33769.9152107171
24,D0171,CAMERON ROCKS RESERVE,B-RE-1977,79,KINGSFORD SMITH DRIVE,HAMILTON,4007,153.049672485065,-27.440357217649,742.564959557944,6946.08794260215
25,D0172,ORIEL PARK,B-RE-1976,127,REEVE STREET,ASCOT,4007,153.057685822944,-27.4292746148667,531.939646945237,14808.3467551492
26,D0173,CROSBY ROAD PARK,B-RE-1975,150,CROSBY ROAD,ASCOT,4007,153.051643439647,-27.4326952206177,253.712740991889,3713.64125739961
27,D0174,NEAL MACROSSAN PLAYGROUND PARK,B-RE-1974,14,CAROLINE STREET,PADDINGTON,4064,153.010293980011,-27.4622638316344,688.085337980217,13989.8790115435
28,D0175,E. E. MCCASKIE OVAL,B-RE-1973,137,KELVIN GROVE ROAD,KELVIN GROVE,4059,153.012670380402,-27.453831085905,612.163418267122,13957.9877360903
29,D0176,KELVIN GROVE RESERVE,B-RE-1972,52,LESTRANGE TERRACE,KELVIN GROVE,4059,153.012091241488,-27.4490846559701,464.979305834949,5270.82460159983
30,D0177,BARDON SCENIC RESERVE,B-RE-1971,78,SIMPSONS ROAD,BARDON,4065,152.983111198935,-27.4603086826245,266.090664754325,4092.71106563376
31,D0178,BOWMAN PARK,B-RE-1970,247,SIMPSONS ROAD,BARDON,4065,152.977142732787,-27.4580655765705,1191.54438838766,66210.2520825156
32,D0179,HUGHIE WILLIAMS PARK,B-RE-1969,93,CECIL ROAD,BARDON,4065,152.982831216572,-27.4566379551471,742.832970727629,9895.18149147481
33,D0181,SCEPTRE ROW PARK,B-RE-1968,148,EMPRESS TERRACE,BARDON,4065,152.986684941462,-27.454148566705,384.498848478405,6107.71872124551
34,D0182,JUBILEE PARK,B-RE-1967,52,CROWN STREET,BARDON,4065,152.982124700602,-27.452435925168,798.943978293244,22682.1648715911
35,D0183,FLETCHER PARADE PARK (NO. 161-231),B-RE-1966,219,FLETCHER PARADE,BARDON,4065,152.981705540309,-27.4508094231349,888.149077684906,16629.1407992927
36,D0184,GLEN HARDING PARK,B-RE-1965,185,COOPERS CAMP ROAD,ASHGROVE,4060,152.979179290797,-27.4511513346524,285.749941012485,4280.43466887227
